name,price,reference_price,reference_unit,supermarket,url,category,insert_date,product_id
Tarta de queso con mermelada con fresa Reina pack de 4 unidades de 100 g.,2.4,6.0,kg,carrefour-es,https://www.carrefour.es/supermercado/tarta-de-queso-con-mermelada-con-fresa-reina-pack-de-4-unidades-de-100-g-reina/R-736416115/p,la_despensa_yogures_y_postres_otros_postres,2021-04-06 00:00:00,19b38fa4cf41e366e3f27eeeafb04849
Tarta de queso Miraflores sin gluten 200 g.,1.31,6.55,kg,carrefour-es,https://www.carrefour.es/supermercado/tarta-de-queso-miraflores-sin-gluten-200-g-miraflores/R-prod63649/p,la_despensa_yogures_y_postres_otros_postres,2021-04-06 00:00:00,7f7b383e2138b62f9020830760849531
Tartufo Carrefour Original pack de 2 unidades de 80 g.,0.99,6.19,kg,carrefour-es,https://www.carrefour.es/supermercado/tartufo-carrefour-original-pack-de-2-unidades-de-80-g-carrefour/R-521006949/p,la_despensa_yogures_y_postres_otros_postres,2021-04-06 00:00:00,472acc9afbea7b1a5af5ae1454cc2e54
Arroz con leche Dhul sin lactosa pack de 2 unidades de 130 g.,1.26,4.85,kg,carrefour-es,https://www.carrefour.es/supermercado/arroz-con-leche-dhul-sin-lactosa-pack-de-2-unidades-de-130-g-dhul/R-796400301/p,la_despensa_yogures_y_postres_otros_postres,2021-04-06 00:00:00,c7cf10e6aa8bb254a3c4fdd7ba9c75e3
Crema catalana Carrefour pack de 2 unidades de 100g.,1.56,7.8,kg,carrefour-es,https://www.carrefour.es/supermercado/crema-catalana-carrefour-pack-de-2-unidades-de-100g-carrefour/R-prod760523/p,la_despensa_yogures_y_postres_otros_postres,2021-04-06 00:00:00,deec9b395903ff426efdb345478c27c8
Arroz con leche Goshua sin gluten pack de 2 unidades de 140 g.,1.99,7.11,kg,carrefour-es,https://www.carrefour.es/supermercado/arroz-con-leche-goshua-sin-gluten-pack-de-2-unidades-de-140-g/R-VC4AECOMM-549774/p,la_despensa_yogures_y_postres_otros_postres,2021-04-06 00:00:00,145377f8b749a545e2099eff87c20186
Cuajada Kaiku pack de 4 unidades de 125 g.,2.15,4.3,kg,carrefour-es,https://www.carrefour.es/supermercado/cuajada-kaiku-pack-de-4-unidades-de-125-g-kaiku/R-590204533/p,la_despensa_yogures_y_postres_otros_postres,2021-04-06 00:00:00,966a9304bf6bf13f0e29b8d6c41f57ef
Preparado de almendra natural sin azúcar añadido Begetal Kaiku sin lactosa pack de 2 unidades de 115 g.,1.85,8.04,kg,carrefour-es,https://www.carrefour.es/supermercado/preparado-de-almendra-natural-sin-azucar-anadido-begetal-kaiku-sin-lactosa-pack-de-2-unidades-de-115-g-kaiku/R-fprod1320169/p,la_despensa_yogures_y_postres_vegetal,2021-04-06 00:00:00,1b2b205d7e5f478593315dcbcefbb17f
Preparado de almendra sabor vainilla Begetal Kaiku sin lactosa pack de 2 unidades de 115 g.,1.85,8.04,kg,carrefour-es,https://www.carrefour.es/supermercado/preparado-de-almendra-sabor-vainilla-begetal-kaiku-sin-lactosa-pack-de-2-unidades-de-115-g-kaiku/R-fprod1320165/p,la_despensa_yogures_y_postres_vegetal,2021-04-06 00:00:00,d5912708d9707332e84ce5ebb8e87b27
Preparado de almendra sabor lima Begetal Kaiku sin lactosa pack de 2 unidades de 115 g.,1.85,8.04,kg,carrefour-es,https://www.carrefour.es/supermercado/preparado-de-almendra-sabor-lima-begetal-kaiku-sin-lactosa-pack-de-2-unidades-de-115-g-kaiku/R-fprod1320164/p,la_despensa_yogures_y_postres_vegetal,2021-04-06 00:00:00,06541c17d2e426487a671d61272696ba
Gazpacho La Huerta Don Simón 1 l.,2.9,2.9,l,carrefour-es,https://www.carrefour.es/supermercado/gazpacho-la-huerta-don-simon-1-l-don-simon/R-prod281249/p,la_despensa_conservas_sopas_y_precocinados_gazpacho_y_salmorejo,2021-04-06 00:00:00,dfb13449bc2f2a72377b85987a02fdf8
